"","rownames","idNum","date","problem","MDC","citationIssued","personSearch","vehicleSearch","preRace","race","gender","lat","long","policePrecinct","neighborhood"
"1",6823,"17-000003","2017-01-01T06:00:42Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.96661711,-93.24645826,1,"Cedar Riverside"
"2",6824,"17-000007","2017-01-01T06:03:07Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Male",44.98045,-93.27134,1,"Downtown West"
"3",6825,"17-000073","2017-01-01T06:23:15Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.94835,-93.27538,5,"Whittier"
"4",6826,"17-000092","2017-01-01T06:33:48Z","suspicious","MDC","","NO","NO","Unknown","East African","Male",44.94836,-93.28135,5,"Whittier"
"5",6827,"17-000098","2017-01-01T06:37:58Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.9790778,-93.26207579,1,"Downtown West"
"6",6828,"17-000111","2017-01-01T06:46:48Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.98053512,-93.26362691,1,"Downtown West"
"7",6829,"17-000114","2017-01-01T06:48:46Z","suspicious","MDC","","NO","NO","Unknown","Black","Male",44.98080828,-93.27314066,1,"Downtown West"
"8",6830,"17-000120","2017-01-01T06:50:55Z","traffic","MDC","","NO","NO","Unknown","Other","Female",44.9820925,-93.23815506,2,"Marcy Holmes"
"9",6831,"17-000127","2017-01-01T06:57:10Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99031863,-93.25204216,2,"Nicollet Island - East Bank"
"10",6832,"17-000139","2017-01-01T07:05:50Z","traffic","MDC","","NO","NO","Unknown","Black","Male",45.01327,-93.30824,4,"Folwell"
"11",6833,"17-000149","2017-01-01T07:09:13Z","suspicious","MDC","","NO","NO","White","Unknown","Male",44.9645834,-93.27658196,5,"Steven's Square - Loring Heights"
"12",6834,"17-000161","2017-01-01T07:15:01Z","traffic","other","","","","","","",44.97308,-93.24772,1,"Cedar Riverside"
"13",6835,"17-000169","2017-01-01T07:19:59Z","traffic","MDC","","NO","NO","Unknown","Black","Male",44.99871047,-93.2530799,2,"St. Anthony East"
"14",6836,"17-000176","2017-01-01T07:22:01Z","traffic","MDC","","NO","NO","Unknown","Black","Male",44.97957,-93.27257,1,"Downtown West"
"15",6837,"17-000204","2017-01-01T07:41:24Z","suspicious","MDC","","NO","NO","Unknown","White","Female",44.98045,-93.27134,1,"Downtown West"
"16",6838,"17-000211","2017-01-01T07:45:09Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.98078144,-93.27429567,1,"Downtown West"
"17",6839,"17-000220","2017-01-01T07:51:02Z","suspicious","MDC","","NO","NO","Unknown","White","Female",44.9915,-93.30572,4,"Willard - Hay"
"18",6840,"17-000224","2017-01-01T07:52:52Z","suspicious","other","","","","","","",44.98124,-93.27254,1,"Downtown West"
"19",6841,"17-000225","2017-01-01T07:53:42Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99871229,-93.25183571,2,"Logan Park"
"20",6842,"17-000236","2017-01-01T08:04:13Z","suspicious","MDC","","NO","NO","Black","Unknown","Male",44.94925,-93.29573,5,"Lowry Hill East"
"21",6843,"17-000244","2017-01-01T08:09:42Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99827813,-93.28172579,4,"Near - North"
"22",6844,"17-000266","2017-01-01T08:22:14Z","traffic","MDC","","YES","YES","Unknown","Black","Female",44.99738,-93.28799,4,"Near - North"
"23",6845,"17-000290","2017-01-01T08:33:22Z","suspicious","MDC","","YES","NO","Black","Black","Male",44.98074363,-93.28959927,4,"Sumner - Glenwood"
"24",6846,"17-000298","2017-01-01T08:36:22Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.94836,-93.29065,5,"CARAG"
"25",6847,"17-000317","2017-01-01T08:45:38Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.94836,-93.28555,5,"Whittier"
"26",6848,"17-000333","2017-01-01T08:53:15Z","traffic","MDC","","NO","NO","Unknown","Black","Male",44.99916,-93.29564,4,"Near - North"
"27",6849,"17-000347","2017-01-01T09:04:40Z","traffic","MDC","","NO","NO","Unknown","Unknown","Unknown",44.96091,-93.28801,5,"Whittier"
"28",6850,"17-000362","2017-01-01T09:14:37Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.94977,-93.3138,5,"Cedar - Isles - Dean"
"29",6851,"17-000365","2017-01-01T09:16:11Z","suspicious","other","","","","","","",45.01043723,-93.29305945,4,"Hawthorne"
"30",6852,"17-000380","2017-01-01T09:23:42Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.96419791,-93.27857261,5,"Steven's Square - Loring Heights"
"31",6853,"17-000388","2017-01-01T09:26:59Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.95463641,-93.28131035,5,"Whittier"
"32",6854,"17-000395","2017-01-01T09:33:29Z","suspicious","MDC","","NO","NO","Black","Unknown","Unknown",45.02392802,-93.23903648,2,"Audubon Park"
"33",6855,"17-000414","2017-01-01T10:00:02Z","suspicious","other","","","","","","",44.97246,-93.26489,1,"Elliot Park"
"34",6856,"17-000421","2017-01-01T10:05:54Z","suspicious","other","","","","","","",44.9915029,-93.30508811,4,"Willard - Hay"
"35",6857,"17-000426","2017-01-01T10:20:33Z","suspicious","other","","","","","","",44.90900519,-93.21456322,3,"Minnehaha"
"36",6858,"17-000429","2017-01-01T10:27:38Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.94473,-93.28814,5,"Lyndale"
"37",6860,"17-000473","2017-01-01T11:46:55Z","traffic","MDC","","NO","NO","Unknown","Asian","Male",45.01266897,-93.24734147,2,"Windom Park"
"38",6861,"17-000488","2017-01-01T12:47:07Z","suspicious","MDC","","NO","NO","Black","Unknown","Unknown",44.94044075,-93.27791575,5,"Lyndale"
"39",6862,"17-000522","2017-01-01T14:31:30Z","traffic","MDC","","NO","NO","Unknown","White","Female",45.00482,-93.29564,4,"Jordan"
"40",6863,"17-000536","2017-01-01T15:02:59Z","suspicious","MDC","","NO","NO","Black","Unknown","Male",44.97092,-93.25508,1,"Downtown East"
"41",6864,"17-000547","2017-01-01T15:48:36Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.938634,-93.24228094,3,"Corcoran"
"42",6865,"17-000549","2017-01-01T15:51:43Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.93773,-93.24058,3,"Standish"
"43",6866,"17-000571","2017-01-01T16:35:17Z","traffic","other","","","","","","",44.99914,-93.29105,4,"Near - North"
"44",6867,"17-000576","2017-01-01T16:41:29Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",45.04118133,-93.29786418,4,"Lind - Bohanon"
"45",6868,"17-000601","2017-01-01T17:49:49Z","suspicious","other","","","","","","",45.0212088,-93.28804287,4,"McKinley"
"46",6869,"17-000619","2017-01-01T18:43:26Z","suspicious","MDC","","YES","NO","Unknown","Black","Male",45.04842509,-93.29406668,4,"Lind - Bohanon"
"47",6870,"17-000628","2017-01-01T19:02:57Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.94660001,-93.28366611,5,"Lyndale"
"48",6871,"17-000637","2017-01-01T19:24:55Z","suspicious","MDC","","NO","NO","Other","Other","Unknown",44.93769702,-93.28627059,5,"King Field"
"49",6872,"17-000639","2017-01-01T19:34:06Z","suspicious","MDC","","NO","NO","Other","Other","Unknown",44.93950519,-93.29265128,5,"CARAG"
"50",6873,"17-000646","2017-01-01T19:41:02Z","suspicious","MDC","","NO","NO","Other","Other","Unknown",44.94040713,-93.29200498,5,"CARAG"
"51",6874,"17-000651","2017-01-01T19:47:54Z","suspicious","other","","","","","","",45.03939592,-93.29015499,4,"Lind - Bohanon"
"52",6875,"17-000668","2017-01-01T20:38:12Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.92955277,-93.28438902,5,"King Field"
"53",6876,"17-000713","2017-01-01T21:36:30Z","suspicious","MDC","","YES","NO","Unknown","Native American","Male",44.95373,-93.25627,3,"Midtown Phillips"
"54",6877,"17-000715","2017-01-01T21:38:36Z","suspicious","MDC","","NO","NO","Black","Unknown","Male",44.96772584,-93.28135089,1,"Loring Park"
"55",6878,"17-000744","2017-01-01T22:46:47Z","traffic","other","","","","","","",44.8949328,-93.2781055,5,"Windom"
"56",6879,"17-000761","2017-01-01T22:57:17Z","traffic","MDC","","NO","NO","Unknown","Black","Female",44.99198,-93.29412,4,"Near - North"
"57",6880,"17-000824","2017-01-01T23:53:52Z","suspicious","other","","","","","","",45.02304272,-93.29058037,4,"McKinley"
"58",6881,"17-000828","2017-01-01T23:57:04Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.97994,-93.23441,2,"Marcy Holmes"
"59",6882,"17-000837","2017-01-02T00:07:06Z","traffic","MDC","","NO","NO","White","White","Female",44.94836,-93.25505,3,"Midtown Phillips"
"60",6883,"17-000848","2017-01-02T00:27:18Z","suspicious","other","","","","","","",44.95777922,-93.21193648,2,"Prospect Park - East River Road"
"61",6884,"17-000878","2017-01-02T00:52:36Z","traffic","MDC","","NO","NO","Unknown","White","Male",44.99162624,-93.21137653,2,"Mid - City Industrial"
"62",6885,"17-000880","2017-01-02T00:53:44Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.9564318,-93.28550353,5,"Whittier"
"63",6886,"17-000894","2017-01-02T01:04:14Z","suspicious","MDC","","YES","YES","Unknown","Black","Female",44.99914804,-93.29181556,4,"Near - North"
"64",6887,"17-000899","2017-01-02T01:07:14Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.96269,-93.26895,3,"Ventura Village"
"65",6888,"17-001010","2017-01-02T02:16:32Z","traffic","MDC","","NO","NO","Black","Black","Female",44.95646,-93.24735,3,"East Phillips"
"66",6889,"17-001021","2017-01-02T02:29:19Z","traffic","other","","","","","","",44.94149948,-93.27431455,3,"Central"
"67",6890,"17-001061","2017-01-02T02:59:02Z","traffic","MDC","","NO","NO","Unknown","East African","Male",45.03554,-93.26289,2,"Columbia Park"
"68",6891,"17-001087","2017-01-02T03:27:17Z","traffic","MDC","","NO","NO","Unknown","White","Female",44.93863463,-93.2779141,5,"Lyndale"
"69",6892,"17-001099","2017-01-02T03:32:42Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.98355662,-93.3134127,4,"Harrison"
"70",6893,"17-001165","2017-01-02T04:26:58Z","suspicious","MDC","","NO","NO","Unknown","Black","Male",44.96091,-93.26511,3,"Ventura Village"
"71",6894,"17-001189","2017-01-02T04:48:16Z","traffic","MDC","","NO","NO","White","White","Female",44.98136499,-93.21368718,2,"Como"
"72",6895,"17-001190","2017-01-02T04:48:32Z","suspicious","MDC","","NO","NO","White","White","Male",44.95642818,-93.27786411,5,"Whittier"
"73",6896,"17-001203","2017-01-02T04:59:11Z","traffic","other","","","","","","",44.99507936,-93.25561273,2,"St. Anthony East"
"74",6897,"17-001206","2017-01-02T05:01:52Z","traffic","MDC","","NO","NO","Unknown","Other","Male",44.96826233,-93.28186087,1,"Loring Park"
"75",6898,"17-001210","2017-01-02T05:06:49Z","suspicious","MDC","","NO","NO","Unknown","White","Male",44.98355662,-93.3134127,4,"Harrison"
"76",6899,"17-001220","2017-01-02T05:11:39Z","suspicious","MDC","","YES","NO","Black","Black","Male",44.96091889,-93.2937258,5,"East Isles"
"77",6900,"17-001218","2017-01-02T05:12:07Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.9386021,-93.29838599,5,"CARAG"
"78",6901,"17-001225","2017-01-02T05:14:50Z","suspicious","MDC","","NO","NO","Unknown","White","Male",44.95196,-93.2868,5,"Whittier"
"79",6902,"17-001231","2017-01-02T05:19:41Z","suspicious","MDC","","NO","NO","Unknown","White","Male",44.94835,-93.27668,5,"Whittier"
"80",6903,"17-001244","2017-01-02T05:39:57Z","suspicious","MDC","","NO","NO","White","White","Male",44.94044075,-93.27791575,5,"Lyndale"
"81",6904,"17-001246","2017-01-02T05:42:53Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.89527691,-93.31628325,5,"Armatage"
"82",6905,"17-001247","2017-01-02T05:43:07Z","traffic","MDC","","NO","NO","Unknown","Black","Male",45.02664866,-93.28807926,4,"Webber - Camden"
"83",6906,"17-001248","2017-01-02T05:43:34Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",45.01759598,-93.28650355,4,"McKinley"
"84",6907,"17-001249","2017-01-02T05:44:46Z","traffic","MDC","","NO","NO","Black","Black","Male",44.96269,-93.27656,5,"Steven's Square - Loring Heights"
"85",6908,"17-001250","2017-01-02T05:45:03Z","suspicious","MDC","","YES","NO","Native American","Native American","Female",44.95779751,-93.24733141,3,"East Phillips"
"86",6909,"17-001251","2017-01-02T05:45:15Z","traffic","other","","","","","","",44.97134,-93.24702,1,"Cedar Riverside"
"87",6910,"17-001259","2017-01-02T05:53:44Z","traffic","MDC","","YES","YES","Unknown","Black","Male",45.00783,-93.30821,4,"Jordan"
"88",6911,"17-001264","2017-01-02T05:57:43Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",45.01107619,-93.26950762,2,"Bottineau"
"89",6912,"17-001269","2017-01-02T06:03:27Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.89927,-93.24731,3,"Diamond Lake"
"90",6913,"17-001289","2017-01-02T06:15:37Z","suspicious","other","","","","","","",45.00494669,-93.27152318,2,"Sheridan"
"91",6914,"17-001314","2017-01-02T06:32:10Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",44.95284615,-93.25247076,3,"Midtown Phillips"
"92",6915,"17-001324","2017-01-02T06:43:48Z","traffic","MDC","","NO","NO","White","White","Male",44.9951,-93.24225,2,"Beltrami"
"93",6916,"17-001327","2017-01-02T06:54:30Z","traffic","other","","","","","","",45.00307,-93.26616,2,"Sheridan"
"94",6917,"17-001340","2017-01-02T07:11:27Z","suspicious","other","","","","","","",44.98078144,-93.27429567,1,"Downtown West"
"95",6918,"17-001360","2017-01-02T07:39:43Z","suspicious","MDC","","NO","NO","Unknown","White","Male",44.96747488,-93.27781525,1,"Loring Park"
"96",6919,"17-001361","2017-01-02T07:43:49Z","traffic","MDC","","NO","NO","Unknown","Other","Male",44.95374,-93.28552,5,"Whittier"
"97",6920,"17-001375","2017-01-02T08:05:46Z","suspicious","MDC","","NO","NO","Unknown","Black","Male",44.98080828,-93.27314066,1,"Downtown West"
"98",6921,"17-001376","2017-01-02T08:07:06Z","traffic","MDC","","NO","NO","Unknown","East African","Male",44.95195,-93.28299,5,"Whittier"
"99",6922,"17-001395","2017-01-02T08:36:58Z","suspicious","MDC","","NO","NO","Unknown","Unknown","Unknown",45.02499559,-93.30835804,4,"Victory"
"100",6923,"17-001408","2017-01-02T09:00:01Z","traffic","MDC","","NO","NO","Black","Black","Male",44.96180795,-93.28800649,5,"Lowry Hill East"
